split,ratio,base_imp,scheme,mse,variance,bias2
0.7,50,10,original,0.011154822642278576,0.010871915965234494,0.0002829066770440831
0.7,50,10,harmonic,0.005975004646989472,0.005899386121307187,7.561852568228525e-05
0.7,50,20,original,0.004916622237544552,0.004914378058301804,2.244179242747318e-06
0.7,50,20,harmonic,0.0029208748562351604,0.0029115863620161183,9.288494219041813e-06
0.7,50,50,original,0.0024216342776544127,0.002381913945701971,3.972033195244188e-05
0.7,50,50,harmonic,0.001369622058265104,0.001341115391504625,2.850666676047871e-05
0.7,50,100,original,0.0013362603946334595,0.001314006119326367,2.2254275307092564e-05
0.7,50,100,harmonic,0.0006142978782321038,0.0006084719033448678,5.825974887236062e-06
0.7,100,2,original,0.034106783473274435,0.03402298946497952,8.379400829492123e-05
0.7,100,2,harmonic,0.03258673172936772,0.032520043216281824,6.668851308589623e-05
0.7,100,5,original,0.019580702044310432,0.019521346797141577,5.9355247168856986e-05
0.7,100,5,harmonic,0.013002072658046787,0.012987209921021209,1.4862737025579e-05
0.7,100,10,original,0.008920564484471151,0.008895875122581592,2.468936188955911e-05
0.7,100,10,harmonic,0.0058625307215511594,0.0058377124146875466,2.481830686361289e-05
0.7,100,20,original,0.004970552705553228,0.004929404401118087,4.114830443514048e-05
0.7,100,20,harmonic,0.003329814901319429,0.0032786559190100145,5.1158982309415125e-05
0.7,100,50,original,0.0024551439929281623,0.0024522013561309925,2.9426367971702663e-06
0.7,100,50,harmonic,0.0011926713060090499,0.0011765714486553307,1.609985735371899e-05
0.7,100,100,original,0.0011487466482136975,0.0011457580283184832,2.988619895214197e-06
0.7,100,100,harmonic,0.0006038427748389693,0.0006020004513994112,1.8423234395581032e-06
0.8,1,2,original,0.13946788344773928,0.1349368169184978,inf
0.8,1,2,harmonic,0.13351500096230298,0.1298249525209776,inf
0.8,1,5,original,0.0522665846023479,0.049185456470177594,0.0030811281321703014
0.8,1,5,harmonic,0.056900127633353816,0.053761251189151274,0.003138876444202559
0.8,1,10,original,0.019010101520435488,0.01885353460284895,0.00015656691758653742
0.8,1,10,harmonic,0.013807030903818495,0.01363854972142994,0.00016848118238855283
0.8,1,20,original,0.007230869788585094,0.007041692715868053,0.0001891770727170402
0.8,1,20,harmonic,0.0055314131548155855,0.0053068573463738306,0.000224555808441754
0.8,1,50,original,0.0026711650755736893,0.0026570285321819266,1.4136543391762315e-05
0.8,1,50,harmonic,0.0016172433148618336,0.0016076635394379917,9.579775423841896e-06
0.8,1,100,original,0.0014985756410425422,0.0014950706048731277,3.505036169414465e-06
0.8,1,100,harmonic,0.0007459769680403318,0.000741826873129643,4.1500949106888155e-06
0.8,5,2,original,0.052845291530105976,0.052191364749074556,0.0006539267810314221
0.8,5,2,harmonic,0.04037692793297958,0.039944971962511795,0.0004319559704677979
0.8,5,5,original,0.031917965866287416,0.03144835927724132,0.0004696065890460994
0.8,5,5,harmonic,0.026596308805342327,0.026084770656594324,0.0005115381487479995
0.8,5,10,original,0.012425941610088365,0.012332328996561118,9.36126135272467e-05
0.8,5,10,harmonic,0.008636494572945958,0.008526658402273518,0.00010983617067243849
0.8,5,20,original,0.005608265893059896,0.005555408261937797,5.285763112210047e-05
0.8,5,20,harmonic,0.0035304954617616257,0.0035029387195331654,2.7556742228460102e-05
0.8,5,50,original,0.0023072858138689046,0.0022938946987698713,1.3391115099033173e-05
0.8,5,50,harmonic,0.0011382523073420916,0.0011353419696477946,2.9103376942969965e-06
