config,position_k,imbalance_ratio,traffic_split,alpha,beta,D_k,D_kp,term1,term2,total
systematic,6,20,0.95,5.000000000000001,6.000000000000001,-3.258202570887224e-06,-0.0009414418286790712,-0.005668200187499752,3.258202570887224e-06,-0.005664941984928865
systematic,6,50,0.6,5.000000000000001,6.000000000000001,-4.684396772303799e-05,-0.0004843336693619648,-0.0031870658225100173,4.684396772303799e-05,-0.0031402218547869794
systematic,6,50,0.8,5.000000000000001,6.000000000000001,-3.739234583534282e-05,-0.0006245738190667699,-0.003971796989412677,3.739234583534282e-05,-0.0039344046435773345
systematic,6,50,0.95,5.000000000000001,6.000000000000001,-6.77586056679555e-06,-0.0007868359266579374,-0.0047616707233483985,6.77586056679555e-06,-0.004754894862781603
systematic,6,100,0.6,5.000000000000001,6.000000000000001,-3.262789137601084e-05,-0.00043611396021145203,-0.002812451109524778,3.262789137601084e-05,-0.002779823218148767
systematic,6,100,0.8,5.000000000000001,6.000000000000001,-2.934204463896496e-05,-0.00048092019326506435,-0.0030615734274241765,2.934204463896496e-05,-0.0030322313827852113
systematic,6,100,0.95,5.000000000000001,6.000000000000001,-1.1386978876732732e-05,-0.0006815629568953616,-0.004157699614632567,1.1386978876732732e-05,-0.004146312635755834
adversarial_mixed,6,1,,5.000000000000001,6.000000000000001,-3.4023421940115655e-05,-3.611033514038973e-05,-0.00042080254248303236,3.4023421940115655e-05,-0.0003867791205429167
adversarial_mixed,6,2,,5.000000000000001,6.000000000000001,-1.607725336643252e-05,-3.4897323157099646e-05,-0.00030584745914119304,1.607725336643252e-05,-0.0002897702057747605
adversarial_mixed,6,5,,5.000000000000001,6.000000000000001,-3.470719647395183e-05,-2.0735310640092612e-05,-0.0003326550426842667,3.470719647395183e-05,-0.0002979478462103149
adversarial_mixed,6,10,,5.000000000000001,6.000000000000001,-1.584332112176647e-05,-3.488270813038953e-05,-0.00030435617551293604,1.584332112176647e-05,-0.00028851285439116957
adversarial_mixed,6,20,,5.000000000000001,6.000000000000001,-2.4741378451621928e-05,-3.305826882371739e-05,-0.00034679788365203596,2.4741378451621928e-05,-0.00032205650520041404
adversarial_mixed,6,50,,5.000000000000001,6.000000000000001,-2.253168634406915e-05,-3.1210306095523786e-05,-0.00032245195463755766,2.253168634406915e-05,-0.0002999202682934885
adversarial_mixed,6,100,,5.000000000000001,6.000000000000001,-1.6504590432591846e-05,-4.180060463731308e-05,-0.0003498311704194296,1.6504590432591846e-05,-0.00033332657998683774
systematic,7,1,0.6,6.000000000000001,7.0,1.199200193520932e-05,-0.0007084959957993245,-0.004875527957048806,-1.199200193520931e-05,-0.004887519958984015
