alpha,beta,rho,worst_ratio,M,b0,frac,harmonic_loses
0.25487871847306215,11.398522810475967,0.022360679774997897,1.0000000000000004,2,2,1.0,1
0.25487871847306215,19.61717333622126,0.012992632226094095,1.0000000000000004,10,2,1.0,1
0.25487871847306215,33.76169843250776,0.007549345273093544,1.0000000000000002,10,2,1.0,1
0.25487871847306215,58.10481772840162,0.004386533310618708,1.0000000000000007,10,2,1.0,1
0.25487871847306215,100.0,0.0025487871847306217,1.0000000000000004,10,2,1.0,1
0.4386533310618707,0.05,8.773066621237414,1.6379841438286467,200,20,0.9,1
0.4386533310618707,0.08605138429951567,5.097574369461243,1.3218325180427077,200,5,0.7000000000000001,1
0.4386533310618707,0.14809681479725867,2.9619362959451734,1.1039353133828615,200,5,0.75,1
0.4386533310618707,0.25487871847306215,1.7210276859903135,1.0094313899435068,5,2,0.55,1
0.4386533310618707,0.4386533310618707,1.0,1.0000000000000004,2,5,0.0,1
0.4386533310618707,0.7549345273093543,0.5810481772840163,1.0000000000000004,10,2,1.0,1
0.4386533310618707,1.2992632226094094,0.33761698432507753,1.0000000000000004,2,2,1.0,1
0.4386533310618707,2.2360679774997894,0.1961717333622126,1.0000000000000007,10,2,1.0,1
0.4386533310618707,3.8483348970335034,0.11398522810475967,1.0000000000000004,5,2,1.0,1
0.4386533310618707,6.623090902757343,0.06623090902757342,1.0000000000000004,50,2,1.0,1
0.4386533310618707,11.398522810475967,0.038483348970335035,1.0000000000000004,2,2,1.0,1
0.4386533310618707,19.61717333622126,0.022360679774997894,1.0000000000000007,10,2,1.0,1
0.4386533310618707,33.76169843250776,0.012992632226094094,1.0000000000000002,2,2,1.0,1
0.4386533310618707,58.10481772840162,0.007549345273093543,1.0000000000000004,2,2,1.0,1
0.4386533310618707,100.0,0.004386533310618707,1.0000000000000004,2,5,0.0,1
0.7549345273093543,0.05,15.098690546187084,2.391182043833737,200,20,0.9,1
0.7549345273093543,0.08605138429951567,8.773066621237415,1.6379841438286473,200,20,0.9,1
0.7549345273093543,0.14809681479725867,5.097574369461243,1.3218325180427077,200,5,0.7000000000000001,1
0.7549345273093543,0.25487871847306215,2.9619362959451734,1.1039353133828618,200,5,0.75,1
0.7549345273093543,0.4386533310618707,1.7210276859903135,1.0094313899435066,5,2,0.55,1
0.7549345273093543,0.7549345273093543,1.0,1.0000000000000004,10,2,1.0,1
0.7549345273093543,1.2992632226094094,0.5810481772840161,1.0000000000000004,10,2,1.0,1
0.7549345273093543,2.2360679774997894,0.3376169843250776,1.0000000000000002,2,2,1.0,1
0.7549345273093543,3.8483348970335034,0.19617173336221258,1.0000000000000004,10,2,1.0,1
0.7549345273093543,6.623090902757343,0.11398522810475965,1.0000000000000004,10,2,1.0,1
0.7549345273093543,11.398522810475967,0.06623090902757342,1.0000000000000007,10,2,1.0,1
0.7549345273093543,19.61717333622126,0.038483348970335035,1.0000000000000004,2,5,0.0,1
0.7549345273093543,33.76169843250776,0.022360679774997894,1.0000000000000002,10,2,1.0,1
0.7549345273093543,58.10481772840162,0.012992632226094094,1.0000000000000004,10,2,1.0,1
0.7549345273093543,100.0,0.007549345273093543,1.0000000000000004,2,2,1.0,1
1.2992632226094094,0.05,25.985264452188186,3.5034398031788987,200,20,0.9,1
1.2992632226094094,0.08605138429951567,15.09869054618709,2.391182043833737,200,20,0.9,1
1.2992632226094094,0.14809681479725867,8.773066621237415,1.6379841438286473,200,20,0.9,1
