alpha,beta,surrogate_h,surrogate_o,ratio_h_over_o
0.05,0.2811706625951745,1.625542038158332e-05,3.219879610050782e-05,0.5048455951844407
0.05,0.2811706625951745,1.478237565716279e-05,0.00013773996717514748,0.10732088848522671
0.05,0.2811706625951745,1.773125317119694e-05,2.9689456736049954e-05,0.5972239010243339
0.05,0.2811706625951745,1.9080661957704837e-05,5.015702067643016e-05,0.38041856753806835
0.05,0.2811706625951745,1.809927701539407e-05,7.087522049234637e-05,0.2553681934202739
0.05,0.2811706625951745,1.581534539550178e-05,4.15826753416144e-05,0.3803349655974244
0.05,0.2811706625951745,1.5681165532341426e-05,0.00014300244486677277,0.10965662543008041
0.05,0.2811706625951745,1.672940961894234e-05,5.089828671030433e-05,0.32868315812200966
0.05,0.2811706625951745,1.6742671718581856e-05,2.6732638401777427e-05,0.6263007589055876
0.05,0.2811706625951745,1.548665985531274e-05,9.353688716926904e-05,0.16556740687005442
0.05,0.2811706625951745,1.612615598955876e-05,6.571230778920715e-05,0.245405412351191
0.05,0.2811706625951745,1.637816225356744e-05,0.00018106937079143877,0.09045241711494269
0.05,0.2811706625951745,1.704039495456833e-05,3.60487448450956e-05,0.47270425164016944
0.05,0.2811706625951745,1.6763021011032834e-05,3.822422336287664e-05,0.43854444999170544
0.05,0.2811706625951745,1.7707619323273484e-05,3.9427672895740485e-05,0.4491165220452689
0.05,0.2811706625951745,1.3809758463574316e-05,3.743279448703483e-05,0.36892138705694133
0.05,0.2811706625951745,1.4463747426393777e-05,4.815868529716362e-05,0.3003351801890996
0.05,0.2811706625951745,1.3686248289931134e-05,2.2382581103356125e-05,0.6114687232331292
0.05,0.2811706625951745,1.842568067282684e-05,4.1913276878237e-05,0.4396144144576338
0.05,0.2811706625951745,1.433918748444799e-05,3.84905843275314e-05,0.3725375370358176
0.05,0.2811706625951745,1.554862820674379e-05,0.0001446294406559955,0.10750666072011275
0.05,0.2811706625951745,1.5147189421434981e-05,3.364976235658027e-05,0.45014253773690976
0.05,0.2811706625951745,1.4441450626470718e-05,5.417483175134298e-05,0.2665712132297064
0.05,0.2811706625951745,1.9613248023059434e-05,0.00017339064379600727,0.11311595362743024
